snapshot_date,source_period,source_updated_at,name,description,sector,sector_slug,stage,geography,commit_velocity_14d,commit_velocity_change,contributors,contributor_growth,new_repos_30d,signal_type,vc_scout_score,momentum_flag,top_driver,risk_flag,github_url,website_url,profile_url
2025-10-01,q4-2025,,dbt-labs,,Data Infrastructure,data-infrastructure,Growth,Unknown,573,60,100,0,2,Framework migration,,,,,https://github.com/dbt-labs,,
2025-10-01,q4-2025,,debezium,,Data Infrastructure,data-infrastructure,Growth,Unknown,106,-11,100,35,0,Framework migration,,,,,https://github.com/debezium,,
2025-10-01,q4-2025,,ever-co,,HR Tech,hr-tech,Growth,US,23,-34,79,0,1,Framework migration,,,,,https://github.com/ever-co,,
2025-10-01,q4-2025,,fleetdm,,Cybersecurity,cybersecurity,Growth,Unknown,280,3,100,0,0,Framework migration,,,,,https://github.com/fleetdm,,
2025-10-01,q4-2025,,gravitational,,Cybersecurity,cybersecurity,Growth,US,178,-1,100,8,0,Framework migration,,,,,https://github.com/gravitational,,
2025-10-01,q4-2025,,hapifhir,,Healthcare,healthcare,Growth,Unknown,11,-15,100,79,0,Engineering hiring burst,,,,,https://github.com/hapifhir,,
2025-10-01,q4-2025,,harvard-edge,,AI & Machine Learning,ai-ml,Growth,Unknown,191,-1,95,13,1,Framework migration,,,,,https://github.com/harvard-edge,,
2025-10-01,q4-2025,,horizontalsystems,,Web3,web3,Series A/B,Unknown,36,-5,22,0,1,Framework migration,,,,,https://github.com/horizontalsystems,,
2025-10-01,q4-2025,,hpi-schul-cloud,,EdTech,edtech,Growth,EU,4,-20,100,0,2,Framework migration,,,,,https://github.com/hpi-schul-cloud,,
2025-10-01,q4-2025,,ihmcrobotics,,Robotics,robotics,Growth,Unknown,34,-11,79,6,0,Framework migration,,,,,https://github.com/ihmcrobotics,,
2025-10-01,q4-2025,,langchain-ai,,Enterprise SaaS,enterprise-saas,Growth,US,226,42,100,20,1,Framework migration,,,,,https://github.com/langchain-ai,,
2025-10-01,q4-2025,,masslight,,Healthcare,healthcare,Series A/B,Unknown,425,-12,24,0,0,Framework migration,,,,,https://github.com/masslight,,
2025-10-01,q4-2025,,mdn,,EdTech,edtech,Growth,Unknown,692,68,100,0,0,Framework migration,,,,,https://github.com/mdn,,
2025-10-01,q4-2025,,naev,,Space Tech,space-tech,Growth,Unknown,140,46,100,0,0,Framework migration,,,,,https://github.com/naev,,
2025-10-01,q4-2025,,nco,,Climate Tech,climate-tech,Series A/B,Unknown,6,0,24,205,0,Engineering hiring burst,,,,,https://github.com/nco,,
2025-10-01,q4-2025,,nextcloud,,Social & Community,social-community,Growth,Unknown,132,6,100,0,0,Framework migration,,,,,https://github.com/nextcloud,,
2025-10-01,q4-2025,,nocobase,,Developer Tools,developer-tools,Growth,Unknown,60,67,98,0,1,Framework migration,,,,,https://github.com/nocobase,,
2025-10-01,q4-2025,,odpi,,Data Infrastructure,data-infrastructure,Growth,Unknown,15,-69,62,0,0,Framework migration,,,,,https://github.com/odpi,,
2025-10-01,q4-2025,,ohrrpgce,,Gaming,gaming,Pre-seed,Unknown,18,-47,3,240,0,Engineering hiring burst,,,,,https://github.com/ohrrpgce,,
2025-10-01,q4-2025,,open-condo-software,,PropTech,proptech,Growth,LATAM,68,-3,51,0,0,Framework migration,,,,,https://github.com/open-condo-software,,
