snapshot_date,source_period,source_updated_at,name,description,sector,sector_slug,stage,geography,commit_velocity_14d,commit_velocity_change,contributors,contributor_growth,new_repos_30d,signal_type,vc_scout_score,momentum_flag,top_driver,risk_flag,github_url,website_url,profile_url,normalized_name,raised_funding_within_90d,funding_event_date,funding_amount,funding_source,match_method
2025-10-01 00:00:00+00:00,q4-2025,,bagisto,,E-commerce Infrastructure,ecommerce-infrastructure,Growth,APAC,58.0,57.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/bagisto,,,bagisto,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,bakaphp,,Social & Community,social-community,Seed,LATAM,502.0,-13.0,14.0,8.0,1.0,Framework migration,,,,,https://github.com/bakaphp,,,bakaphp,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,ballerina-platform,,Healthcare,healthcare,Seed,Unknown,287.0,-4.0,11.0,0.0,0.0,Framework migration,,,,,https://github.com/ballerina-platform,,,ballerina platform,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,betagouv,,AgTech,agtech,Growth,EU,10.0,43.0,100.0,32.0,1.0,Framework migration,,,,,https://github.com/betagouv,,,betagouv,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,castle-engine,,Gaming,gaming,Series A/B,Unknown,37.0,106.0,24.0,0.0,0.0,Framework migration,,,,,https://github.com/castle-engine,,,castle engine,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,cilium,,Cybersecurity,cybersecurity,Growth,Unknown,164.0,-13.0,100.0,0.0,1.0,Framework migration,,,,,https://github.com/cilium,,,cilium,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,dagster-io,,Data Infrastructure,data-infrastructure,Growth,US,123.0,17.0,100.0,19.0,1.0,Framework migration,,,,,https://github.com/dagster-io,,,dagster io,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,dbt-labs,,Data Infrastructure,data-infrastructure,Growth,Unknown,573.0,60.0,100.0,0.0,2.0,Framework migration,,,,,https://github.com/dbt-labs,,,dbt labs,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,debezium,,Data Infrastructure,data-infrastructure,Growth,Unknown,106.0,-11.0,100.0,35.0,0.0,Framework migration,,,,,https://github.com/debezium,,,debezium,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,ever-co,,HR Tech,hr-tech,Growth,US,23.0,-34.0,79.0,0.0,1.0,Framework migration,,,,,https://github.com/ever-co,,,ever,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,fleetdm,,Cybersecurity,cybersecurity,Growth,Unknown,280.0,3.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/fleetdm,,,fleetdm,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,gravitational,,Cybersecurity,cybersecurity,Growth,US,178.0,-1.0,100.0,8.0,0.0,Framework migration,,,,,https://github.com/gravitational,,,gravitational,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,hapifhir,,Healthcare,healthcare,Growth,Unknown,11.0,-15.0,100.0,79.0,0.0,Engineering hiring burst,,,,,https://github.com/hapifhir,,,hapifhir,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,harvard-edge,,AI & Machine Learning,ai-ml,Growth,Unknown,191.0,-1.0,95.0,13.0,1.0,Framework migration,,,,,https://github.com/harvard-edge,,,harvard edge,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,horizontalsystems,,Web3,web3,Series A/B,Unknown,36.0,-5.0,22.0,0.0,1.0,Framework migration,,,,,https://github.com/horizontalsystems,,,horizontalsystems,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,hpi-schul-cloud,,EdTech,edtech,Growth,EU,4.0,-20.0,100.0,0.0,2.0,Framework migration,,,,,https://github.com/hpi-schul-cloud,,,hpi schul cloud,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,ihmcrobotics,,Robotics,robotics,Growth,Unknown,34.0,-11.0,79.0,6.0,0.0,Framework migration,,,,,https://github.com/ihmcrobotics,,,ihmcrobotics,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,langchain-ai,,Enterprise SaaS,enterprise-saas,Growth,US,226.0,42.0,100.0,20.0,1.0,Framework migration,,,,,https://github.com/langchain-ai,,,langchain ai,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,masslight,,Healthcare,healthcare,Series A/B,Unknown,425.0,-12.0,24.0,0.0,0.0,Framework migration,,,,,https://github.com/masslight,,,masslight,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,mdn,,EdTech,edtech,Growth,Unknown,692.0,68.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/mdn,,,mdn,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,naev,,Space Tech,space-tech,Growth,Unknown,140.0,46.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/naev,,,naev,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,nco,,Climate Tech,climate-tech,Series A/B,Unknown,6.0,0.0,24.0,205.0,0.0,Engineering hiring burst,,,,,https://github.com/nco,,,nco,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,nextcloud,,Social & Community,social-community,Growth,Unknown,132.0,6.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/nextcloud,,,nextcloud,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,nocobase,,Developer Tools,developer-tools,Growth,Unknown,60.0,67.0,98.0,0.0,1.0,Framework migration,,,,,https://github.com/nocobase,,,nocobase,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,odpi,,Data Infrastructure,data-infrastructure,Growth,Unknown,15.0,-69.0,62.0,0.0,0.0,Framework migration,,,,,https://github.com/odpi,,,odpi,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,ohrrpgce,,Gaming,gaming,Pre-seed,Unknown,18.0,-47.0,3.0,240.0,0.0,Engineering hiring burst,,,,,https://github.com/ohrrpgce,,,ohrrpgce,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,open-condo-software,,PropTech,proptech,Growth,LATAM,68.0,-3.0,51.0,0.0,0.0,Framework migration,,,,,https://github.com/open-condo-software,,,open condo software,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,opennem,,Climate Tech,climate-tech,Seed,APAC,22.0,16.0,9.0,121.0,0.0,Engineering hiring burst,,,,,https://github.com/opennem,,,opennem,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,orbiternassp,,Space Tech,space-tech,Series A/B,Unknown,50.0,138.0,37.0,0.0,0.0,Framework migration,,,,,https://github.com/orbiternassp,,,orbiternassp,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,paperless-ngx,,AI & Machine Learning,ai-ml,Growth,Unknown,19.0,-60.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/paperless-ngx,,,paperless ngx,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,particify,,EdTech,edtech,Seed,EU,24.0,-38.0,16.0,0.0,0.0,Framework migration,,,,,https://github.com/particify,,,particify,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,polarsource,,Enterprise SaaS,enterprise-saas,Growth,Unknown,164.0,-18.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/polarsource,,,polarsource,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,projectdiscovery,,Cybersecurity,cybersecurity,Growth,Unknown,882.0,53.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/projectdiscovery,,,projectdiscovery,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,roboflow,,AI & Machine Learning,ai-ml,Growth,US,100.0,-61.0,90.0,0.0,2.0,Framework migration,,,,,https://github.com/roboflow,,,roboflow,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,saleor,,E-commerce Infrastructure,ecommerce-infrastructure,Growth,Unknown,9.0,-59.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/saleor,,,saleor,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,tenzir,,Cybersecurity,cybersecurity,Series A/B,EU,144.0,17.0,48.0,0.0,0.0,Framework migration,,,,,https://github.com/tenzir,,,tenzir,0.0,,,,
