name,startup_key,website_url,resolved_url,commercial_fetched_at,http_status,pricing_signal,customer_evidence_signal,enterprise_signal,careers_signal,security_signal,integrations_signal,developer_docs_signal,self_serve_signal,sales_motion_signal,commercial_signal_count,commercial_momentum_score,page_word_count,page_link_count,commercial_maturity_score,previous_commercial_maturity_score,previous_commercial_fetched_at,commercial_maturity_change
MOVACT,movact,https://movact.de,https://www.movact.de/,2026-08-17T06:52:20.540559+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,21.0,0.0,0.0,2026-08-10T07:38:19.613360+00:00,0.0
Qloapps,qloapps,https://qloapps.com,https://qloapps.com/,2026-08-17T06:52:20.581436+00:00,200,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,79.0,1509.0,110.0,79.0,61.0,2026-08-10T07:38:20.320217+00:00,18.0
QuartermindGames,quartermindgames,https://quartermind.com,https://quartermind.com/,2026-08-17T06:52:20.695546+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,2026-08-10T07:38:20.305422+00:00,0.0
PurrNet,purrnet,https://purrnet.dev,https://purrnet.dev/,2026-08-17T06:52:20.739245+00:00,200,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,23.0,1195.0,38.0,23.0,,,
RouteVN,routevn,https://routevn.com,https://routevn.com/,2026-08-17T06:52:20.784384+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,2026-08-10T07:38:20.482200+00:00,0.0
Payroll-Engine,payroll-engine,https://payrollengine.org,https://payrollengine.org/,2026-08-17T06:52:20.912199+00:00,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,681.0,112.0,12.0,12.0,2026-08-10T07:38:20.330070+00:00,0.0
RocketPy-Team,rocketpy-team,https://rocketpy.org,https://rocketpy-team.github.io/,2026-08-17T06:52:21.027645+00:00,200,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,25.0,1233.0,61.0,25.0,25.0,2026-08-10T07:38:20.649340+00:00,0.0
RBND-studio,rbnd-studio,https://rbnd.studio,https://rbnd.studio/,2026-08-17T06:52:21.332740+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,7.0,0.0,0.0,2026-08-10T07:38:20.403085+00:00,0.0
SigNoz,signoz,https://signoz.io,https://signoz.io/,2026-08-17T06:52:21.370795+00:00,200,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,7.0,85.0,1346.0,70.0,85.0,85.0,2026-08-10T07:38:20.724312+00:00,0.0
StanfordSpezi,stanfordspezi,https://spezi.stanford.edu,https://spezi.stanford.edu/,2026-08-17T06:52:21.388781+00:00,200,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,21.0,409.0,54.0,21.0,21.0,2026-08-10T07:38:20.633512+00:00,0.0
